email,password,roles,id,name
james@schedjuice.com,password123,"[""superadmin""]",1,james
naren001@student.schedjuice.com,password123,"[""student""]",2,naren
nads001@student.schedjuice.com,password123,"[""student""]",3,nads
yiyang001@student.schedjuice.com,password123,"[""student""]",4,yi yang
yuchen001@student.schedjuice.com,password123,"[""student""]",5,yu chen
admin@schedjuice.com,password123,"[""admin""]",6,admin
chewjeelong@schedjuice.com,password123,"[""teacher""]",7,chew jee long
dummy1@schedjuice.com,password123,"[""student""]",8,dummy1
dummy2@schedjuice.com,password123,"[""student""]",9,dummy2
dummy3@schedjuice.com,password123,"[""student""]",10,dummy3
dummy4@schedjuice.com,password123,"[""student""]",11,dummy4
dummy5@schedjuice.com,password123,"[""student""]",12,dummy5
dummy6@schedjuice.com,password123,"[""student""]",14,dummy6
dummy7@schedjuice.com,password123,"[""student""]",15,dummy7
dummy8@schedjuice.com,password123,"[""student""]",16,dummy8
dummy9@schedjuice.com,password123,"[""student""]",17,dummy9
dummy10@schedjuice.com,password123,"[""student""]",18,dummy10
manager@schedjuice.com,password123,"[""manager""]",19,manager
student@schedjuice.com,password123,"[""student""]",20,student
teacher@schedjuice.com,password123,"[""teacher""]",21,teacher
